project_id,criterion1,criterion2,value
20250517002312,0,0,1.0
20250517002312,0,1,5.0
20250517002312,1,0,0.2
20250517002312,1,1,1.0
20250515220927,0,0,1.0
20250515220927,0,1,0.2
20250515220927,0,2,1.0
20250515220927,0,3,0.5
20250515220927,0,4,0.2
20250515220927,1,0,5.0
20250515220927,1,1,1.0
20250515220927,1,2,5.0
20250515220927,1,3,3.0
20250515220927,1,4,1.0
20250515220927,2,0,1.0
20250515220927,2,1,0.2
20250515220927,2,2,1.0
20250515220927,2,3,0.5
20250515220927,2,4,0.2
20250515220927,3,0,2.0
20250515220927,3,1,0.3333333333333333
20250515220927,3,2,2.0
20250515220927,3,3,1.0
20250515220927,3,4,0.3333333333333333
20250515220927,4,0,5.0
20250515220927,4,1,1.0
20250515220927,4,2,5.0
20250515220927,4,3,3.0
20250515220927,4,4,1.0
